データコード,FM08'FXERM07,FM09'FX180110002
系列名称,"東京市場　ドル・円　スポット　17時時点/月中平均","実質実効為替レート指数"
1970/01,,58.24
1970/02,,58.09
1970/03,,58.29
1970/04,,58.33
1970/05,,57.75
1970/06,,57.65
1970/07,,57.26
1970/08,,57
1970/09,,57.72
1970/10,,58.39
1970/11,,58.27
1970/12,,58.32
1971/01,,58.26
1971/02,,58.12
1971/03,,58.07
1971/04,,58.65
1971/05,,58.55
1971/06,,58.52
1971/07,,58.71
1971/08,,58.42
1971/09,,62.47
1971/10,,63.59
1971/11,,63.35
1971/12,,64.22
1972/01,,65.02
1972/02,,66.24
1972/03,,67.03
1972/04,,67.49
1972/05,,67.22
1972/06,,67.66
1972/07,,67.92
1972/08,,67.75
1972/09,,67.91
1972/10,,68.45
1972/11,,68.5
1972/12,,68.51
1973/01,301.93,68.85
1973/02,279.48,72.93
1973/03,265.26,77.37
1973/04,265.52,77.05
1973/05,264.73,77.52
1973/06,264.7,75.92
1973/07,264.41,74.7
1973/08,265.11,74.97
1973/09,265.49,76.46
1973/10,266.32,75.26
1973/11,277.05,73.1
1973/12,280,75.22
1974/01,298.64,73.74
1974/02,291.24,75.25
1974/03,282.58,76.23
1974/04,277.78,78.24
1974/05,278.93,77.02
1974/06,283.05,76.25
1974/07,290.91,74.88
1974/08,302.22,72.36
1974/09,299.63,73.41
1974/10,299.48,74.19
1974/11,300.1,73.31
1974/12,300.44,73.43
1975/01,299.64,73.22
1975/02,292.17,74.1
1975/03,288.03,75.07
1975/04,292.12,75.13
1975/05,291.47,74.81
1975/06,293.57,73.83
1975/07,296.22,74.07
1975/08,297.93,74.23
1975/09,299.68,75.26
1975/10,302.38,75.06
1975/11,302.53,74.2
1975/12,305.7,73.51
1976/01,304.66,74.63
1976/02,301.9,75.52
1976/03,300.6,76.18
1976/04,299.1,78.23
1976/05,299.06,78.3
1976/06,299.4,78.3
1976/07,294.77,79.39
1976/08,290.77,79.44
1976/09,287.58,82.13
1976/10,290.99,81.29
1976/11,295.09,79.88
1976/12,294.65,80.3
1977/01,290.94,81.22
1977/02,285.22,82.65
1977/03,280.41,83.78
1977/04,275.14,85.98
1977/05,277.53,85.52
1977/06,272.97,85.73
1977/07,264.9,87.05
1977/08,266.63,86.01
1977/09,266.95,87.14
1977/10,255.32,91.2
1977/11,244.7,93.2
1977/12,241.28,92.92
1978/01,241.21,91.7
1978/02,240.31,91.41
1978/03,231.42,94.7
1978/04,221.61,99.55
1978/05,226.34,98.26
1978/06,214.38,101.79
1978/07,199.95,107.46
1978/08,188.5,112.3
1978/09,190.16,111.56
1978/10,183.95,112.91
1978/11,191.33,107.89
1978/12,196.12,104.78
1979/01,197.78,102.74
1979/02,200.53,99.97
1979/03,206.21,96.91
1979/04,215.83,93.01
1979/05,218.14,92.13
1979/06,218.85,90.75
1979/07,216.44,90.15
1979/08,217.9,87.93
1979/09,222.22,86
1979/10,230.36,83.71
